datetime,timestamp,in_bed_pct,hr_mean,hr_std,dhr,rr_mean,rr_std,drr,large_move_pct,minor_move_pct,turnovers_delta,apnea_delta,flags,vib_move_pct,vib_resp_q,agree_flags
2000-01-01 05:25:53,946697153,100,65,0,0,16,0,0,0,100,0,0,3,100,95,5
2000-01-01 05:26:23,946697183,100,64,0,255,16,0,0,0,100,0,0,3,100,95,5
2000-01-01 05:26:53,946697213,100,70,1,6,16,0,0,0,100,0,0,3,100,95,5
2000-01-01 05:28:20,946697300,100,70,5,0,16,0,0,0,100,0,0,3,100,95,5
2000-01-01 05:28:50,946697330,100,63,0,249,16,0,0,0,100,0,0,3,100,95,5
2000-01-01 05:29:20,946697360,100,108,13,45,22,1,6,0,100,0,0,3,100,95,5
2000-01-01 05:29:50,946697390,100,79,5,227,21,1,255,0,100,0,0,3,100,95,5
2000-01-01 05:30:20,946697420,100,70,1,247,19,1,254,0,100,0,0,3,100,95,5
2000-01-01 05:30:50,946697450,100,62,0,248,17,0,254,0,100,0,0,3,100,95,5
2000-01-01 05:31:20,946697480,100,62,0,0,17,0,0,0,100,0,0,3,100,95,5
2000-01-01 05:31:50,946697510,100,67,1,5,21,1,4,0,100,0,0,2,100,95,5
2000-01-01 05:32:20,946697540,100,67,0,0,19,1,254,0,100,0,0,2,100,95,5
2000-01-01 05:32:50,946697570,100,74,2,7,18,0,255,0,100,0,0,2,100,95,5
2000-01-01 05:33:20,946697600,100,76,1,2,18,0,0,0,100,0,0,2,100,95,5
2000-01-01 05:33:50,946697630,100,74,0,254,18,0,0,0,100,0,0,2,100,95,5
2000-01-01 05:34:20,946697660,100,71,3,253,17,0,255,0,100,0,0,2,100,95,5
2000-01-01 05:34:50,946697690,100,66,3,251,18,0,1,0,100,0,0,2,100,95,5
2000-01-01 05:35:20,946697720,100,72,0,6,18,0,0,0,100,0,0,2,100,95,5
2000-01-01 05:35:50,946697750,100,72,0,0,18,0,0,0,100,0,0,2,100,95,5
2000-01-01 05:36:20,946697780,100,69,3,253,18,0,0,0,100,0,0,2,100,95,5
2000-01-01 05:36:50,946697810,100,65,2,252,18,0,0,0,100,0,0,2,100,95,5
2000-01-01 05:37:20,946697840,100,69,0,4,18,0,0,0,100,0,0,2,100,95,5
2000-01-01 05:37:50,946697870,100,70,1,1,18,0,0,0,100,0,0,2,100,96,5
2000-01-01 05:39:30,946697970,100,73,1,3,18,0,0,0,100,0,0,0,100,95,4
2000-01-01 05:40:00,946698000,100,75,0,2,18,0,0,0,100,0,0,0,100,95,4
2000-01-01 05:40:30,946698030,100,75,0,0,18,0,0,0,100,0,0,0,100,95,4
2000-01-01 05:41:00,946698060,100,75,0,0,18,0,0,0,100,0,0,0,100,95,4
2000-01-01 05:41:30,946698090,100,75,0,0,18,0,0,0,100,0,0,2,100,95,5
2000-01-01 05:42:00,946698120,100,75,0,0,18,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:42:30,946698150,100,74,0,255,18,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:43:00,946698180,100,76,1,2,19,0,1,0,100,0,0,1,100,95,5
2000-01-01 05:43:30,946698210,100,99,19,23,21,2,2,0,100,0,0,1,100,95,5
2000-01-01 05:44:00,946698240,100,90,7,247,11,1,246,0,100,0,0,1,100,95,5
2000-01-01 05:44:30,946698270,100,76,6,242,13,1,2,0,100,0,0,1,100,95,5
2000-01-01 05:45:00,946698300,100,71,1,251,17,0,4,0,100,0,0,1,100,95,5
2000-01-01 05:45:30,946698330,100,70,2,255,16,1,255,0,100,0,0,1,100,95,5
2000-01-01 05:46:00,946698360,100,74,1,4,20,1,4,0,100,0,0,1,100,95,5
2000-01-01 05:46:30,946698390,100,66,0,248,19,1,255,0,100,0,0,1,100,95,5
2000-01-01 05:47:00,946698420,100,67,0,1,16,1,253,0,100,0,0,1,100,95,5
2000-01-01 05:47:30,946698450,100,68,0,1,16,0,0,0,100,0,0,0,100,95,4
2000-01-01 05:48:00,946698480,100,68,0,0,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:48:30,946698510,100,74,6,6,15,0,255,0,100,0,0,1,100,95,5
2000-01-01 05:49:00,946698540,100,68,2,250,15,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:50:28,946698628,100,64,1,252,15,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:50:58,946698658,100,65,4,1,15,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:51:28,946698688,100,75,3,10,16,0,1,0,100,0,0,1,100,95,5
2000-01-01 05:51:58,946698718,100,78,4,3,16,0,0,0,100,1,0,1,100,95,5
2000-01-01 05:52:28,946698748,100,72,3,250,16,0,0,0,100,0,0,1,100,96,5
2000-01-01 05:52:58,946698778,100,69,3,253,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:53:28,946698808,100,65,3,252,18,0,2,0,100,0,0,1,100,95,5
2000-01-01 05:53:58,946698838,100,62,1,253,18,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:54:28,946698868,100,63,0,1,17,0,255,0,100,0,0,1,100,95,5
2000-01-01 05:54:58,946698898,100,63,0,0,17,1,0,0,100,0,0,1,100,95,5
2000-01-01 05:55:28,946698928,100,63,0,0,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:55:58,946698958,100,64,3,1,19,1,2,0,100,0,0,1,100,95,5
2000-01-01 05:56:28,946698988,100,81,1,17,19,2,0,0,100,0,0,1,100,95,5
2000-01-01 05:56:58,946699018,100,72,8,247,17,0,254,0,100,0,0,1,100,95,5
2000-01-01 05:57:28,946699048,100,65,3,249,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:57:58,946699078,100,85,3,20,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:58:28,946699108,100,81,8,252,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:58:58,946699138,100,62,0,237,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:59:28,946699168,100,65,5,3,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 05:59:58,946699198,100,78,0,13,17,1,0,0,100,0,0,1,100,95,5
2000-01-01 06:01:21,946699281,100,78,3,0,19,1,2,0,100,0,0,1,100,95,5
2000-01-01 06:01:51,946699311,100,63,1,241,17,1,254,0,100,0,0,1,100,95,5
2000-01-01 06:02:21,946699341,100,69,5,6,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:02:51,946699371,100,68,4,255,18,1,1,0,100,0,0,1,100,95,5
2000-01-01 06:03:21,946699401,100,68,3,0,20,1,2,0,100,0,0,1,100,95,5
2000-01-01 06:03:51,946699431,100,72,0,4,18,0,254,0,100,0,0,1,100,95,5
2000-01-01 06:04:21,946699461,100,80,2,8,18,1,0,0,100,0,0,1,100,95,5
2000-01-01 06:04:51,946699491,100,87,1,7,20,1,2,0,100,0,0,1,100,95,5
2000-01-01 06:05:21,946699521,100,86,0,255,20,2,0,0,100,0,0,1,100,95,5
2000-01-01 06:05:51,946699551,100,82,4,252,17,0,253,0,100,0,0,1,100,96,5
2000-01-01 06:06:21,946699581,100,73,2,247,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:06:51,946699611,100,70,2,253,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:07:21,946699641,100,71,4,1,18,0,1,0,100,0,0,1,100,95,5
2000-01-01 06:07:51,946699671,100,72,6,1,18,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:08:21,946699701,100,62,0,246,17,0,255,0,100,0,0,1,100,95,5
2000-01-01 06:08:51,946699731,100,69,2,7,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:09:21,946699761,100,70,4,1,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:09:51,946699791,100,71,5,1,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:10:21,946699821,100,66,2,251,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:10:51,946699851,100,72,0,6,17,1,0,0,100,0,0,1,100,95,5
2000-01-01 06:12:16,946699936,100,64,1,248,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:12:46,946699966,100,64,1,0,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:13:16,946699996,100,71,5,7,19,1,2,0,100,0,0,1,100,95,5
2000-01-01 06:13:46,946700026,100,64,2,249,17,1,254,0,100,0,0,1,100,95,5
2000-01-01 06:14:16,946700056,100,73,6,9,18,0,1,0,100,0,0,1,100,95,5
2000-01-01 06:14:46,946700086,100,81,0,8,17,0,255,0,100,0,0,1,100,95,5
2000-01-01 06:15:16,946700116,100,76,3,251,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:15:46,946700146,100,82,3,6,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:16:16,946700176,100,82,4,0,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:16:46,946700206,100,71,0,245,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:17:16,946700236,100,68,5,253,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:17:46,946700266,100,64,2,252,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:18:16,946700296,100,75,3,11,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:18:46,946700326,100,71,4,252,17,0,0,0,100,0,0,1,100,96,5
2000-01-01 06:19:16,946700356,100,69,2,254,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:19:46,946700386,100,78,4,9,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:20:16,946700416,100,81,1,3,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:20:46,946700446,100,73,2,248,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:21:16,946700476,100,81,3,8,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:21:46,946700506,100,76,4,251,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:23:08,946700588,100,74,1,254,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:23:38,946700618,100,72,2,254,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:24:08,946700648,100,77,0,5,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:24:38,946700678,100,81,2,4,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:25:08,946700708,100,87,1,6,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:25:38,946700738,100,76,2,245,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:26:08,946700768,100,88,1,12,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:26:38,946700798,100,82,6,250,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:27:08,946700828,100,70,0,244,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:27:38,946700858,100,70,0,0,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:28:08,946700888,100,69,2,255,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:28:38,946700918,100,76,4,7,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:29:08,946700948,100,79,4,3,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:29:38,946700978,100,70,3,247,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:30:08,946701008,100,72,0,2,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:30:38,946701038,100,83,3,11,17,0,0,0,100,0,0,1,100,95,5
